Zip Code,Latitude,Longitude,City,Population,Median Household Income,Median Home Value,Rental Percentage,Median Monthly Rent
98101,47.6102,-122.3346,"Seattle, Washington",14528,96893,751500,85,2450
98102,47.6344,-122.3216,"Seattle, Washington",25396,102466,850900,75,1997
98103,47.6783,-122.3382,"Seattle, Washington",55210,113443,848500,56,2087
98104,47.6017,-122.3277,"Seattle, Washington",14469,60955,610900,90,1950
98105,47.6621,-122.2968,"Seattle, Washington",49448,73343,1062200,67,2195
98106,47.5467,-122.3499,"Seattle, Washington",27489,84506,536800,46,2250
98107,47.6681,-122.377,"Seattle, Washington",27116,113531,790000,59,2150
98108,47.5349,-122.3058,"Seattle, Washington",23759,74985,580500,44,2650
98109,47.6308,-122.3458,"Seattle, Washington",29376,111059,818200,78,2345
98112,47.6322,-122.2968,"Seattle, Washington",24412,133267,1094300,38,2300
98115,47.6858,-122.2922,"Seattle, Washington",53729,128443,890500,39,2193
98116,47.5744,-122.3945,"Seattle, Washington",27190,124795,790200,44,2300
98117,47.6878,-122.3821,"Seattle, Washington",36365,146887,849200,29,2163
98118,47.54,-122.2747,"Seattle, Washington",48937,94790,633000,40,2125
98119,47.6393,-122.3691,"Seattle, Washington",26094,106245,911800,59,2150
98121,47.6147,-122.3459,"Seattle, Washington",21010,135823,739800,74,2495
98122,47.6104,-122.303,"Seattle, Washington",41541,84418,795000,71,1995
98125,47.7169,-122.3032,"Seattle, Washington",43386,82439,669800,54,2053
98126,47.5492,-122.3743,"Seattle, Washington",22030,97368,616700,39,2200
98133,47.7401,-122.3428,"Seattle, Washington",50153,77602,596500,53,1974
98136,47.537,-122.3899,"Seattle, Washington",17245,130978,743300,36,2600
98144,47.5855,-122.3015,"Seattle, Washington",31648,90239,741800,52,2400
98146,47.5001,-122.3578,"Seattle, Washington",27879,91667,490500,35,1850
98148,47.4426,-122.3222,"Seattle, Washington",11068,77490,433800,54,1785
98155,47.7544,-122.3005,"Seattle, Washington",36081,109731,634900,29,2450
98166,47.4533,-122.3488,"Seattle, Washington",22599,102994,628600,36,1854
98168,47.4904,-122.3002,"Seattle, Washington",34614,71977,389400,44,1750
98177,47.7462,-122.3679,"Seattle, Washington",20561,139401,837400,16,2800
98178,47.4966,-122.2515,"Seattle, Washington",26282,87788,494000,33,2500
98188,47.4503,-122.2806,"Seattle, Washington",27524,71223,354400,55,1820
98198,47.3967,-122.3103,"Seattle, Washington",38919,69833,403800,46,2048
98199,47.6513,-122.4029,"Seattle, Washington",22890,148878,934900,39,2579
